Name,Age,GPA,Credits Completed,Year,Pathway
Stephanie Garcia,18,1.84,5,Victory Lap,Criminal Justice
Catherine Johnson,17,1.69,45,Junior,Criminal Justice
Marge Garcia,19,0.44,59,Freshmen,Early Childhood Education
Jane Robinson,16,2.41,34,Freshmen,Early Childhood Education
Dave Johnson,15,4.02,38,Sophomore,Early Childhood Education
Matthew Johnson,18,2.6,35,Junior,Marketing
Matthew Lewis,19,3.45,44,Senior,Early College
Stephanie Jones,14,1.42,32,Freshmen,Engineering
Rachel Miller,17,0.32,59,Senior,Computer Science
Aiden Johnson,16,3.15,18,Freshmen,Early Childhood Education
Christina Smith,18,0.62,0,Victory Lap,Engineering
Mack Miller,19,1.36,14,Freshmen,Business
Markus Davis,15,3.88,39,Junior,Computer Science
Markus Anderson,18,2.0,10,Freshmen,Bio Med
Josh Smith,19,1.57,39,Freshmen,Culinary
Josh Brown,14,2.61,56,Sophomore,Criminal Justice
Emma Garcia,18,0.31,35,Victory Lap,Business
Ben Miller,19,2.64,26,Junior,Bio Med
Emma Patel,15,2.26,46,Freshmen,Marketing
Christina Davis,14,1.38,14,Victory Lap,Culinary
Lisa Patel,17,2.75,38,Senior,Business
Jordan Jordan,17,1.27,40,Senior,Bio Med
Jill Brown,14,0.64,40,Sophomore,Early College
Ben Davis,15,3.86,8,Junior,Business
Stephanie Bradberry,15,0.55,31,Victory Lap,Marketing
Marge Jordan,15,2.84,21,Sophomore,Culinary
Dave Anderson,18,3.5,45,Senior,Early Childhood Education
Christina Jones,18,0.35,56,Senior,Bio Med
Lisa Savoie,14,3.31,30,Victory Lap,Engineering
Lisa Lewis,16,0.43,14,Victory Lap,Early Childhood Education
Aiden Johnson,14,2.69,57,Junior,Culinary
Catherine Davis,18,3.39,9,Senior,Engineering
Matthew Rulli,16,0.72,40,Senior,Culinary
Matthew Savoie,15,1.69,6,Sophomore,Culinary
Joey Anderson,14,1.7,31,Senior,Business
Daniel Miller,14,2.22,15,Victory Lap,Bio Med
Matthew Johnson,16,0.88,2,Sophomore,Bio Med
Matthew Lewis,15,1.25,45,Victory Lap,Early Childhood Education
Joey Brown,17,0.98,29,Junior,Engineering
Mack Lewis,14,0.77,44,Victory Lap,Criminal Justice
Marge Patel,17,0.36,26,Victory Lap,Early College
Jane Garcia,17,0.97,8,Freshmen,Marketing
Ben Bradberry,18,2.44,52,Freshmen,Bio Med
Jill Miller,14,2.39,46,Junior,Culinary
Aiden Jordan,14,3.28,51,Freshmen,Early College
Marge Savoie,18,2.84,37,Junior,Culinary
Mack Miller,14,3.37,28,Junior,Criminal Justice
Jill Anderson,19,3.18,27,Senior,Bio Med
Emma Brown,15,1.27,3,Freshmen,Bio Med
Josh Jordan,14,1.24,21,Sophomore,Business
Christina Rulli,17,3.03,33,Sophomore,Business
Daniel Rulli,15,1.87,29,Junior,Computer Science
Lisa Robinson,15,1.1,40,Victory Lap,Engineering
Jane Savoie,18,1.45,41,Junior,Early College
Jill Garcia,14,1.82,42,Senior,Computer Science
Jill Anderson,16,2.96,12,Junior,Business
Daniel Lewis,18,3.6,32,Senior,Early Childhood Education
Aiden Jordan,16,3.72,45,Freshmen,Engineering
Emma Savoie,19,0.88,9,Junior,Criminal Justice
Jane Anderson,17,3.97,55,Victory Lap,Early College
Rachel Anderson,16,3.45,14,Sophomore,Marketing
Catherine Bradberry,17,1.06,17,Junior,Computer Science
Jane Brown,16,1.41,44,Sophomore,Engineering
Catherine Smith,18,1.8,8,Sophomore,Engineering
Matthew Jordan,18,2.45,20,Junior,Engineering
Josh Rulli,17,3.02,37,Sophomore,Business
Jill Robinson,18,1.24,20,Junior,Early College
Markus Jordan,15,2.2,41,Victory Lap,Computer Science
Jordan Garcia,19,0.47,49,Senior,Business
Noah Lewis,16,2.75,43,Senior,Bio Med
Mack Lewis,15,3.38,53,Freshmen,Early College
Aiden Smith,16,3.0,2,Victory Lap,Business
Dave Bradberry,14,1.59,16,Senior,Early Childhood Education
Dave Brown,14,1.18,38,Victory Lap,Business
Catherine Miller,14,3.11,40,Junior,Criminal Justice
Marge Savoie,16,3.8,21,Freshmen,Early College
Matthew Jones,16,4.23,53,Junior,Marketing
Markus Anderson,15,4.08,3,Sophomore,Marketing
Ben Smith,16,4.25,28,Freshmen,Culinary
Lisa Smith,18,0.88,20,Victory Lap,Culinary
Jill Anderson,17,3.49,44,Freshmen,Computer Science
Marge Smith,16,4.18,31,Freshmen,Early College
Rachel Patel,17,2.41,48,Freshmen,Business
Joey Bradberry,15,3.06,6,Sophomore,Engineering
Markus Davis,19,2.42,33,Senior,Marketing
Stephanie Anderson,14,0.55,3,Victory Lap,Culinary
Josh Garcia,15,0.75,24,Junior,Marketing
Patrick Miller,19,3.71,1,Senior,Criminal Justice
Catherine Robinson,18,3.93,41,Victory Lap,Criminal Justice
Daniel Davis,17,1.06,38,Junior,Computer Science
Marge Davis,17,2.1,46,Junior,Computer Science
Noah Lewis,17,0.87,5,Victory Lap,Culinary
Joey Garcia,18,2.75,9,Junior,Computer Science
Joey Anderson,15,1.0,39,Freshmen,Criminal Justice
Noah Bradberry,17,2.13,59,Junior,Bio Med
Stephanie Jones,17,3.58,11,Sophomore,Criminal Justice
Josh Miller,18,1.82,34,Sophomore,Marketing
Catherine Miller,15,2.48,12,Sophomore,Criminal Justice
Jill Brown,15,0.62,30,Senior,Early College
Mack Patel,16,1.22,57,Junior,Engineering
Lisa Brown,15,2.62,22,Junior,Engineering
Catherine Robinson,16,0.96,46,Sophomore,Culinary
Joey Patel,18,1.41,51,Junior,Early Childhood Education
Stephanie Miller,18,4.11,6,Senior,Engineering
Markus Miller,19,3.68,15,Freshmen,Criminal Justice
Ben Davis,14,3.39,49,Sophomore,Culinary
Dave Miller,14,2.13,28,Senior,Bio Med
Rachel Miller,19,2.2,57,Freshmen,Early College
Aiden Smith,19,1.89,21,Victory Lap,Computer Science
Marge Rulli,15,0.71,0,Sophomore,Early College
Mack Anderson,16,1.05,46,Victory Lap,Criminal Justice
Matthew Robinson,19,2.74,16,Junior,Criminal Justice
Markus Miller,17,1.67,18,Victory Lap,Business
Ben Savoie,17,2.31,19,Junior,Computer Science
Rachel Anderson,19,1.07,47,Senior,Early Childhood Education
Jane Bradberry,14,0.31,44,Victory Lap,Criminal Justice
Jane Patel,14,0.96,5,Junior,Business
Christina Miller,15,4.21,58,Sophomore,Engineering
Dave Smith,14,1.73,37,Senior,Business
Aiden Johnson,18,1.63,56,Senior,Business
Emma Rulli,14,2.54,29,Sophomore,Early Childhood Education
Josh Miller,19,0.67,25,Freshmen,Early Childhood Education
Stephanie Brown,15,1.96,50,Junior,Culinary
Lisa Patel,18,4.09,51,Senior,Early Childhood Education
Emma Lewis,19,3.5,44,Sophomore,Bio Med
Marge Rulli,17,2.3,6,Sophomore,Business
Noah Rulli,15,3.73,13,Victory Lap,Business
Emma Smith,19,3.72,45,Senior,Marketing
Daniel Rulli,19,2.31,32,Senior,Marketing
Jordan Savoie,16,1.08,17,Junior,Computer Science
Lisa Smith,16,0.65,0,Freshmen,Business
Stephanie Davis,18,3.76,13,Junior,Criminal Justice
Daniel Savoie,15,2.37,55,Freshmen,Marketing
Stephanie Rulli,14,1.71,16,Freshmen,Criminal Justice
Jordan Patel,15,1.78,24,Freshmen,Computer Science
Jane Miller,17,1.29,60,Senior,Early Childhood Education
Jane Bradberry,19,0.99,31,Victory Lap,Bio Med
Noah Jordan,19,2.85,35,Senior,Business
Markus Robinson,19,2.0,35,Senior,Culinary
Jane Patel,18,3.68,50,Senior,Business
Ben Johnson,15,2.72,9,Freshmen,Business
Aiden Anderson,18,2.78,57,Freshmen,Culinary
Catherine Lewis,19,2.68,47,Freshmen,Business
Jill Anderson,15,2.48,3,Senior,Engineering
Aiden Bradberry,17,3.08,7,Victory Lap,Business
Emma Smith,14,2.05,42,Sophomore,Bio Med
Dave Savoie,16,2.76,45,Victory Lap,Engineering
Emma Davis,15,2.71,3,Senior,Culinary
Jill Johnson,14,0.56,37,Freshmen,Criminal Justice
Christina Davis,15,2.87,48,Sophomore,Culinary
Daniel Davis,15,1.27,27,Sophomore,Criminal Justice
Patrick Rulli,16,3.85,1,Sophomore,Criminal Justice
Lisa Robinson,18,2.54,23,Senior,Culinary
Josh Smith,18,3.09,32,Sophomore,Early Childhood Education
Ben Lewis,14,3.77,29,Junior,Business
Rachel Smith,17,4.05,29,Senior,Business
Noah Brown,14,0.92,1,Sophomore,Criminal Justice
Jill Brown,15,2.05,15,Senior,Culinary
Matthew Johnson,14,2.55,59,Sophomore,Business
Noah Miller,19,1.89,17,Freshmen,Criminal Justice
Jordan Patel,17,2.35,13,Sophomore,Bio Med
Jane Garcia,17,1.14,31,Victory Lap,Engineering
Matthew Anderson,17,4.09,7,Senior,Early Childhood Education
Joey Patel,17,2.12,21,Victory Lap,Early Childhood Education
Jill Garcia,18,1.39,47,Freshmen,Engineering
Josh Smith,19,2.95,23,Senior,Early Childhood Education
Jane Brown,14,2.34,50,Sophomore,Culinary
Christina Jordan,17,2.99,12,Junior,Early Childhood Education
Christina Anderson,16,1.43,60,Sophomore,Marketing
Noah Robinson,19,4.29,44,Freshmen,Engineering
Rachel Smith,14,0.56,37,Senior,Marketing
Mack Jordan,15,2.03,59,Sophomore,Early College
Joey Patel,19,4.0,0,Victory Lap,Criminal Justice
Josh Jones,19,2.03,35,Victory Lap,Business
Daniel Bradberry,16,3.32,3,Victory Lap,Early Childhood Education
Stephanie Johnson,14,0.65,24,Victory Lap,Bio Med
Emma Anderson,16,3.32,37,Sophomore,Engineering
Rachel Jordan,19,4.04,51,Sophomore,Marketing
Patrick Rulli,14,2.63,27,Victory Lap,Engineering
Josh Johnson,14,1.34,58,Freshmen,Culinary
Catherine Brown,16,3.5,21,Sophomore,Bio Med
